sold_date,address,location,boarea,biarea,rooms,plot,price
6 juli 2016,Nereby 360,"Kärna - Harestad, Kungälvs kommun",120.0,40.0,6.0,1149.0,3100000.0
6 juli 2016,Skår 260,"Romelanda Skår, Kungälvs kommun",31.0,40.0,2.0,785.0,250000.0
5 juli 2016,Mariebergsvägen 130,"Östra Kungälv - Marieberg, Kungälvs kommun",230.0,41.0,10.0,2100.0,5520000.0
5 juli 2016,Lerlycke 240,"Lerlycke - Kärna, Kungälvs kommun",129.0,44.0,3.0,12665.0,4420000.0
4 juli 2016,Rörtången 295,"Kode, Kungälvs kommun",90.0,15.0,4.0,1795.0,5275000.0
4 juli 2016,Dannemarksgatan 45,"Tega, Kungälvs kommun",140.0,15.0,5.0,1072.0,4850000.0
4 juli 2016,Krokens Väg 11,"Tjuvkil, Kungälvs kommun",148.0,15.0,6.0,1155.0,6000000.0
1 juli 2016,Briljantvägen 9,"KODE, Kungälvs kommun",125.0,15.0,5.0,350.0,3200000.0
28 juni 2016,Rörmossevägen 180,"Rörmossen, Kungälvs kommun",110.0,135.0,6.0,1827.0,3725000.0
26 juni 2016,Hammar 565,"Skäggstorp, Kungälvs kommun",160.0,135.0,4.0,2210.0,3000000.0
22 juni 2016,Byvägen 33,"Kode Ödsmål, Kungälvs kommun",58.0,135.0,3.0,1871.0,2625000.0
20 april 2021,Gulskärsvägen 21,"Tjuvkil, Kungälvs kommun",149.0,14.0,6.0,1512.0,7400000.0
20 april 2021,Mårdgatan 4,"Olseröd, Kungälvs kommun",124.0,45.0,5.0,1122.0,7150000.0
19 april 2021,Lilla Fjellsholmen 22,"Lilla Fjellsholmen, Kungälvs kommun",4.0,45.0,None,406.0,8900000.0
16 april 2021,Lindvägen 8,"Ytterby, Kungälvs kommun",244.0,72.0,7.0,1330.0,7700000.0
16 april 2021,Stenåldersgatan 41,"Ytterby, Kungälvs kommun",120.0,72.0,5.0,404.0,5350000.0
16 april 2021,Harkvägen 335,"Ullstorp, Kungälvs kommun",131.0,72.0,4.0,None,4610000.0
15 april 2021,Prästvägen 296,"Kareby, Kungälvs kommun",187.0,72.0,6.0,1434.0,8100000.0
15 april 2021,Duvesjön 228,"Diseröd, Kungälvs kommun",121.0,37.0,5.0,1150.0,4925000.0
15 april 2021,Kuskalundsvägen 11,"Hålta, Kungälvs kommun",110.0,49.0,3.0,1227.0,4025000.0
14 april 2021,Ulvesund 412,"Ulvesund, Kungälvs kommun",106.0,9.0,4.0,806.0,4750000.0
13 april 2021,Mantalsgatan 15,"Tega, Kungälvs kommun",110.0,9.0,4.0,986.0,3725000.0
13 april 2021,Klintegatan 7,"Kungälv - Centrum, Kungälvs kommun",143.0,112.0,5.0,798.0,7750000.0
12 april 2021,Duvesjön 205,"Diseröd, Kungälvs kommun",126.0,112.0,4.0,1062.0,4700000.0
